regime,m,rep,threshold,certified,lower_fraction,tested_thresholds,latent_mass_success,set_size,full_set,singleton
mixed,5,15,1.0,True,0.9412239082370144,2,1.0,4.852333333333333,0.8523333333333334,0.0
mixed,5,16,1.0,True,0.9556636070238915,2,1.0,4.853666666666666,0.8536666666666667,0.0
mixed,5,17,1.0,True,0.95939945185913,2,1.0,4.864,0.864,0.0
mixed,5,18,1.0,True,0.9672258120138114,2,1.0,4.866333333333333,0.8663333333333333,0.0
mixed,5,19,1.0,True,0.9441314757525217,2,1.0,4.86,0.86,0.0
mixed,5,20,1.0,True,0.955674278066596,2,1.0,4.844333333333333,0.8443333333333334,0.0
mixed,5,21,1.0,True,0.9404308692753577,2,1.0,4.864333333333334,0.8643333333333333,0.0
mixed,5,22,1.0,True,0.9486111763083727,2,1.0,4.865666666666667,0.8656666666666667,0.0
mixed,5,23,1.0,True,0.9521106456502377,2,1.0,4.852333333333333,0.8523333333333334,0.0
mixed,5,24,1.0,True,0.955674278066596,2,1.0,4.857,0.857,0.0
mixed,5,25,1.0,True,0.95939945185913,2,0.9996666666666667,4.857666666666667,0.8576666666666667,0.0
mixed,5,26,1.0,True,0.9672258120138114,2,1.0,4.859333333333334,0.8593333333333333,0.0
mixed,5,27,1.0,True,0.95939945185913,2,1.0,4.855333333333333,0.8553333333333333,0.0
mixed,5,28,1.0,True,0.9404307219659498,2,1.0,4.857666666666667,0.8576666666666667,0.0
mixed,5,29,1.0,True,0.9713625845580152,2,1.0,4.863,0.863,0.0
mixed,5,30,1.0,True,0.9378942727597549,2,1.0,4.864,0.864,0.0
mixed,5,31,1.0,True,0.9486111763083727,2,1.0,4.847,0.847,0.0
mixed,5,32,1.0,True,0.9378942727597549,2,1.0,4.86,0.86,0.0
mixed,5,33,1.0,True,0.9451665266473169,2,1.0,4.860333333333333,0.8603333333333333,0.0
mixed,5,34,1.0,True,0.9672258120138114,2,1.0,4.851666666666667,0.8516666666666667,0.0
mixed,5,35,1.0,True,0.9486111763083727,2,1.0,4.861,0.861,0.0
mixed,5,36,1.0,True,0.955674278066596,2,1.0,4.860666666666667,0.8606666666666667,0.0
mixed,5,37,1.0,True,0.955674278066596,2,1.0,4.846666666666667,0.8466666666666667,0.0
mixed,5,38,1.0,True,0.9521106456502377,2,1.0,4.861666666666666,0.8616666666666667,0.0
mixed,5,39,1.0,True,0.955674278066596,2,1.0,4.868,0.868,0.0
mixed,10,0,1.0,True,0.9387387742668576,2,1.0,4.859666666666667,0.8596666666666667,0.0
mixed,10,1,1.0,True,0.9409633651990983,2,1.0,4.849333333333333,0.8493333333333334,0.0
mixed,10,2,1.0,True,0.9252973379683775,2,1.0,4.854666666666667,0.8546666666666667,0.0
mixed,10,3,1.0,True,0.959364486702406,2,1.0,4.863666666666667,0.8636666666666667,0.0
mixed,10,4,1.0,True,0.9624999637190917,2,1.0,4.858666666666666,0.8586666666666667,0.0
mixed,10,5,1.0,True,0.9492342313424686,2,1.0,4.862,0.862,0.0
mixed,10,6,1.0,True,0.9432455118897951,2,1.0,4.864,0.864,0.0
mixed,10,7,1.0,True,0.925432071282233,2,1.0,4.862333333333333,0.8623333333333333,0.0
mixed,10,8,1.0,True,0.9444145666252475,2,1.0,4.867666666666667,0.8676666666666667,0.0
mixed,10,9,1.0,True,0.9548810256109912,2,1.0,4.856,0.856,0.0
mixed,10,10,1.0,True,0.9492342313424686,2,1.0,4.854333333333333,0.8543333333333333,0.0
mixed,10,11,1.0,True,0.9479109892465492,2,1.0,4.865333333333333,0.8653333333333333,0.0
mixed,10,12,1.0,True,0.9432455118897951,2,0.9996666666666667,4.859,0.859,0.0
mixed,10,13,1.0,True,0.9491724620044124,2,1.0,4.852,0.852,0.0
mixed,10,14,1.0,True,0.9277401099522211,2,1.0,4.858,0.858,0.0
mixed,10,15,1.0,True,0.9444145666252475,2,1.0,4.862333333333333,0.8623333333333333,0.0
mixed,10,16,1.0,True,0.9290272213176006,2,1.0,4.852,0.852,0.0
mixed,10,17,1.0,True,0.9421899756930068,2,0.9996666666666667,4.859666666666667,0.8596666666666667,0.0
mixed,10,18,1.0,True,0.9491724620044124,2,1.0,4.843666666666667,0.8436666666666667,0.0
mixed,10,19,1.0,True,0.9432455118897951,2,1.0,4.863333333333333,0.8633333333333333,0.0
mixed,10,20,1.0,True,0.9361659404550238,2,1.0,4.8613333333333335,0.8613333333333333,0.0
mixed,10,21,1.0,True,0.9528412700087725,2,1.0,4.850333333333333,0.8503333333333334,0.0
mixed,10,22,1.0,True,0.9474542074550634,2,1.0,4.867333333333334,0.8673333333333333,0.0
mixed,10,23,1.0,True,0.9396420306995779,2,1.0,4.858,0.858,0.0
mixed,10,24,1.0,True,0.9401523647604819,2,1.0,4.861666666666666,0.8616666666666667,0.0
mixed,10,25,1.0,True,0.9474542074550634,2,1.0,4.847,0.847,0.0
mixed,10,26,1.0,True,0.9430169436375836,2,1.0,4.8406666666666665,0.8406666666666667,0.0
mixed,10,27,1.0,True,0.9467419345110968,2,1.0,4.8646666666666665,0.8646666666666667,0.0
mixed,10,28,1.0,True,0.9406393016848159,2,1.0,4.859666666666667,0.8596666666666667,0.0
mixed,10,29,1.0,True,0.9519292546578361,2,0.9996666666666667,4.852666666666667,0.8526666666666667,0.0
mixed,10,30,1.0,True,0.9470145591826913,2,1.0,4.858333333333333,0.8583333333333333,0.0
mixed,10,31,1.0,True,0.9302117634727207,2,1.0,4.862666666666667,0.8626666666666667,0.0
mixed,10,32,1.0,True,0.9387387742668576,2,1.0,4.863,0.863,0.0
mixed,10,33,1.0,True,0.9447743829633721,2,1.0,4.861,0.861,0.0
mixed,10,34,1.0,True,0.938892317944284,2,1.0,4.8613333333333335,0.8613333333333333,0.0
mixed,10,35,1.0,True,0.9388138449609013,2,1.0,4.8646666666666665,0.8646666666666667,0.0
mixed,10,36,1.0,True,0.9456863983143087,2,1.0,4.854,0.854,0.0
mixed,10,37,1.0,True,0.9409633651990983,2,1.0,4.869,0.869,0.0
mixed,10,38,1.0,True,0.9427387456677726,2,1.0,4.850333333333333,0.8503333333333334,0.0
mixed,10,39,1.0,True,0.9586399562856419,2,1.0,4.8533333333333335,0.8533333333333334,0.0
ambiguous,3,0,1.0,True,0.9492259030284074,2,1.0,4.872,0.872,0.0
ambiguous,3,1,1.0,True,0.9527399000038731,2,1.0,4.8726666666666665,0.8726666666666667,0.0
ambiguous,3,2,1.0,True,0.9581412270485452,2,1.0,4.870333333333333,0.8703333333333333,0.0
ambiguous,3,3,1.0,True,0.9460874893058594,2,1.0,4.875,0.875,0.0
ambiguous,3,4,1.0,True,0.9460874893058594,2,1.0,4.8773333333333335,0.8773333333333333,0.0
ambiguous,3,5,1.0,True,0.9460874893058594,2,1.0,4.867333333333334,0.8673333333333333,0.0
ambiguous,3,6,1.0,True,0.9186573252831021,2,0.9996666666666667,4.862,0.862,0.0
ambiguous,3,7,1.0,True,0.9460874893058594,2,1.0,4.891333333333334,0.8913333333333333,0.0
ambiguous,3,8,1.0,True,0.9492259030284074,2,1.0,4.866666666666666,0.8666666666666667,0.0
ambiguous,3,9,1.0,True,0.9460874893058594,2,1.0,4.868333333333333,0.8683333333333333,0.0
ambiguous,3,10,1.0,True,0.9408920790454931,2,1.0,4.878,0.878,0.0
ambiguous,3,11,1.0,True,0.9527399000038731,2,1.0,4.887333333333333,0.8873333333333333,0.0
ambiguous,3,12,1.0,True,0.9460874893058594,2,1.0,4.859666666666667,0.8596666666666667,0.0
ambiguous,3,13,1.0,True,0.9186573252831021,2,1.0,4.875666666666667,0.8756666666666667,0.0
ambiguous,3,14,1.0,True,0.9356653948163233,2,1.0,4.875,0.875,0.0
ambiguous,3,15,1.0,True,0.9356653948163233,2,1.0,4.873,0.873,0.0
ambiguous,3,16,1.0,True,0.926037926237434,2,1.0,4.877,0.877,0.0
ambiguous,3,17,1.0,True,0.9169062551572152,2,1.0,4.875333333333334,0.8753333333333333,0.0
ambiguous,3,18,1.0,True,0.9568284351277143,2,1.0,4.874,0.874,0.0
ambiguous,3,19,1.0,True,0.9460874893058594,2,1.0,4.881666666666667,0.8816666666666667,0.0
ambiguous,3,20,1.0,True,0.9460874893058594,2,1.0,4.864333333333334,0.8643333333333333,0.0
ambiguous,3,21,1.0,True,0.9581412270485452,2,1.0,4.868666666666667,0.8686666666666667,0.0
ambiguous,3,22,1.0,True,0.9581412270485452,2,1.0,4.881,0.881,0.0
ambiguous,3,23,1.0,True,0.9581412270485452,2,1.0,4.873666666666667,0.8736666666666667,0.0
ambiguous,3,24,1.0,True,0.952945816788179,2,1.0,4.859,0.859,0.0
ambiguous,3,25,1.0,True,0.9408920790454931,2,1.0,4.866,0.866,0.0
ambiguous,3,26,1.0,True,0.9370977558875033,2,1.0,4.867,0.867,0.0
ambiguous,3,27,1.0,True,0.9460874893058594,2,0.9996666666666667,4.870666666666667,0.8706666666666667,0.0
ambiguous,3,28,1.0,True,0.9581412270485452,2,1.0,4.879666666666667,0.8796666666666667,0.0
ambiguous,3,29,0.98,True,0.9031819581658678,3,0.9976666666666667,3.6266666666666665,0.0,0.0003333333333333333
ambiguous,3,30,1.0,True,0.9409224500304695,2,1.0,4.875,0.875,0.0
ambiguous,3,31,1.0,True,0.9342401845999584,2,1.0,4.870333333333333,0.8703333333333333,0.0
ambiguous,3,32,1.0,True,0.9581427029682797,2,1.0,4.874,0.874,0.0
ambiguous,3,33,1.0,True,0.9581412270485452,2,1.0,4.869666666666666,0.8696666666666667,0.0
ambiguous,3,34,1.0,True,0.9356653948163233,2,1.0,4.871,0.871,0.0
ambiguous,3,35,1.0,True,0.9492259030284074,2,1.0,4.871666666666667,0.8716666666666667,0.0
ambiguous,3,36,1.0,True,0.9487345099727051,2,1.0,4.868666666666667,0.8686666666666667,0.0
ambiguous,3,37,1.0,True,0.9356653948163233,2,1.0,4.881,0.881,0.0
ambiguous,3,38,1.0,True,0.9581503339931812,2,1.0,4.874333333333333,0.8743333333333333,0.0
ambiguous,3,39,0.98,True,0.90290101245593,3,0.9983333333333333,3.645,0.0,0.0003333333333333333
ambiguous,5,0,1.0,True,0.924891385369787,2,1.0,4.874666666666666,0.8746666666666667,0.0
ambiguous,5,1,1.0,True,0.9451665266473169,2,1.0,4.869666666666666,0.8696666666666667,0.0
ambiguous,5,2,1.0,True,0.9404309499293207,2,1.0,4.8773333333333335,0.8773333333333333,0.0
ambiguous,5,3,1.0,True,0.940430830844178,2,1.0,4.870333333333333,0.8703333333333333,0.0
ambiguous,5,4,1.0,True,0.9404307570450239,2,1.0,4.872333333333334,0.8723333333333333,0.0
ambiguous,5,5,1.0,True,0.9248928957420804,2,1.0,4.871666666666667,0.8716666666666667,0.0
ambiguous,5,6,1.0,True,0.9404309499293207,2,1.0,4.882,0.882,0.0
ambiguous,5,7,1.0,True,0.9280370475115626,2,1.0,4.8806666666666665,0.8806666666666667,0.0
ambiguous,5,8,1.0,True,0.9248912325708796,2,1.0,4.874666666666666,0.8746666666666667,0.0
ambiguous,5,9,1.0,True,0.9404307219659498,2,1.0,4.871333333333333,0.8713333333333333,0.0
ambiguous,5,10,0.98,True,0.9051652970102506,3,0.9966666666666667,3.646,0.0,0.0013333333333333333
ambiguous,5,11,0.98,True,0.9041815429593558,3,0.9986666666666667,3.6403333333333334,0.0,0.0
ambiguous,5,12,0.98,True,0.906137386484748,3,0.9983333333333333,3.65,0.0,0.0003333333333333333
ambiguous,5,13,1.0,True,0.9404312338416819,2,1.0,4.874,0.874,0.0
ambiguous,5,14,1.0,True,0.92769528780405,2,1.0,4.868333333333333,0.8683333333333333,0.0
ambiguous,5,15,1.0,True,0.9413000249813138,2,1.0,4.866333333333333,0.8663333333333333,0.0
ambiguous,5,16,0.98,True,0.9040820221548206,3,0.9976666666666667,3.6506666666666665,0.0,0.0
ambiguous,5,17,1.0,True,0.9412239082370144,2,0.9993333333333333,4.874666666666666,0.8746666666666667,0.0
ambiguous,5,18,1.0,True,0.9404321141458536,2,0.9996666666666667,4.875333333333334,0.8753333333333333,0.0
ambiguous,5,19,1.0,True,0.9404307933911698,2,1.0,4.875,0.875,0.0
ambiguous,5,20,1.0,True,0.9280370475115626,2,1.0,4.868333333333333,0.8683333333333333,0.0
ambiguous,5,21,1.0,True,0.9404307570450239,2,1.0,4.873,0.873,0.0
ambiguous,5,22,1.0,True,0.9248911242964153,2,1.0,4.874,0.874,0.0
ambiguous,5,23,1.0,True,0.9404309499293207,2,1.0,4.8773333333333335,0.8773333333333333,0.0
ambiguous,5,24,1.0,True,0.940430830844178,2,1.0,4.868,0.868,0.0
ambiguous,5,25,1.0,True,0.9403995044835475,2,1.0,4.872,0.872,0.0
ambiguous,5,26,1.0,True,0.9404318163601081,2,1.0,4.866333333333333,0.8663333333333333,0.0
ambiguous,5,27,1.0,True,0.9358761294210023,2,1.0,4.873,0.873,0.0
ambiguous,5,28,1.0,True,0.926152683633084,2,1.0,4.876333333333333,0.8763333333333333,0.0
ambiguous,5,29,1.0,True,0.940430830844178,2,1.0,4.865333333333333,0.8653333333333333,0.0
ambiguous,5,30,1.0,True,0.9404306763278435,2,1.0,4.862333333333333,0.8623333333333333,0.0
ambiguous,5,31,1.0,True,0.9280370475115626,2,1.0,4.875,0.875,0.0
ambiguous,5,32,1.0,True,0.9404464255291005,2,1.0,4.881333333333333,0.8813333333333333,0.0
ambiguous,5,33,1.0,True,0.9186405448230293,2,1.0,4.859666666666667,0.8596666666666667,0.0
ambiguous,5,34,1.0,True,0.9341474922578987,2,1.0,4.868666666666667,0.8686666666666667,0.0
ambiguous,5,35,1.0,True,0.9404307933911698,2,1.0,4.8693333333333335,0.8693333333333333,0.0
ambiguous,5,36,1.0,True,0.9248916613993609,2,1.0,4.867666666666667,0.8676666666666667,0.0
ambiguous,5,37,1.0,True,0.924891195625847,2,1.0,4.868333333333333,0.8683333333333333,0.0
ambiguous,5,38,1.0,True,0.9155031535346949,2,1.0,4.867,0.867,0.0
ambiguous,5,39,1.0,True,0.9248911242964153,2,1.0,4.874666666666666,0.8746666666666667,0.0
ambiguous,10,0,1.0,True,0.9216305838220755,2,1.0,4.875,0.875,0.0
ambiguous,10,1,1.0,True,0.9062860264905206,2,1.0,4.864333333333334,0.8643333333333333,0.0
ambiguous,10,2,1.0,True,0.9063516237244476,2,1.0,4.8646666666666665,0.8646666666666667,0.0
ambiguous,10,3,1.0,True,0.916910956330325,2,1.0,4.873,0.873,0.0
ambiguous,10,4,inf,False,,1,1.0,5.0,1.0,0.0
ambiguous,10,5,1.0,True,0.9020725034733441,2,1.0,4.873333333333333,0.8733333333333333,0.0
ambiguous,10,6,1.0,True,0.9170224152962867,2,1.0,4.874666666666666,0.8746666666666667,0.0
ambiguous,10,7,inf,False,,1,1.0,5.0,1.0,0.0
ambiguous,10,8,1.0,True,0.9011098829955116,2,1.0,4.879666666666667,0.8796666666666667,0.0
ambiguous,10,9,inf,False,,1,1.0,5.0,1.0,0.0
ambiguous,10,10,1.0,True,0.9006412077039557,2,1.0,4.878666666666667,0.8786666666666667,0.0
ambiguous,10,11,1.0,True,0.9215560758095763,2,1.0,4.874333333333333,0.8743333333333333,0.0
ambiguous,10,12,1.0,True,0.9169727176402414,2,1.0,4.878333333333333,0.8783333333333333,0.0
ambiguous,10,13,1.0,True,0.9152045498654998,2,1.0,4.873666666666667,0.8736666666666667,0.0
ambiguous,10,14,1.0,True,0.9174991346821515,2,1.0,4.871333333333333,0.8713333333333333,0.0
ambiguous,10,15,1.0,True,0.913416905534571,2,1.0,4.880333333333334,0.8803333333333333,0.0
ambiguous,10,16,1.0,True,0.9069533288719066,2,1.0,4.8726666666666665,0.8726666666666667,0.0
ambiguous,10,17,1.0,True,0.9145737441425389,2,1.0,4.876,0.876,0.0
ambiguous,10,18,1.0,True,0.9232418237482003,2,1.0,4.874333333333333,0.8743333333333333,0.0
ambiguous,10,19,1.0,True,0.912790842117061,2,1.0,4.873666666666667,0.8736666666666667,0.0
ambiguous,10,20,1.0,True,0.9153614949176034,2,1.0,4.874,0.874,0.0
ambiguous,10,21,1.0,True,0.9316010569127573,2,1.0,4.874333333333333,0.8743333333333333,0.0
ambiguous,10,22,1.0,True,0.9172603162297519,2,1.0,4.873666666666667,0.8736666666666667,0.0
ambiguous,10,23,1.0,True,0.9251240404499477,2,1.0,4.874666666666666,0.8746666666666667,0.0
ambiguous,10,24,1.0,True,0.9150152946329415,2,1.0,4.868333333333333,0.8683333333333333,0.0
ambiguous,10,25,1.0,True,0.9360781602671864,2,1.0,4.881333333333333,0.8813333333333333,0.0
ambiguous,10,26,1.0,True,0.9086225167713782,2,1.0,4.867,0.867,0.0
ambiguous,10,27,1.0,True,0.9076209370484274,2,1.0,4.867333333333334,0.8673333333333333,0.0
ambiguous,10,28,1.0,True,0.9112922733383665,2,1.0,4.887666666666667,0.8876666666666667,0.0
ambiguous,10,29,1.0,True,0.905866114294236,2,1.0,4.868666666666667,0.8686666666666667,0.0
ambiguous,10,30,1.0,True,0.920728353641628,2,1.0,4.878,0.878,0.0
ambiguous,10,31,1.0,True,0.906776287377569,2,1.0,4.879,0.879,0.0
ambiguous,10,32,1.0,True,0.9302117634727207,2,1.0,4.873666666666667,0.8736666666666667,0.0
ambiguous,10,33,1.0,True,0.9216305838220755,2,1.0,4.876,0.876,0.0
ambiguous,10,34,1.0,True,0.912624162042184,2,1.0,4.87,0.87,0.0
ambiguous,10,35,inf,False,,1,1.0,5.0,1.0,0.0
ambiguous,10,36,1.0,True,0.9315953334072886,2,1.0,4.872333333333334,0.8723333333333333,0.0
ambiguous,10,37,1.0,True,0.9105532831848128,2,1.0,4.8773333333333335,0.8773333333333333,0.0
ambiguous,10,38,1.0,True,0.9110195410247175,2,0.9996666666666667,4.863,0.863,0.0
ambiguous,10,39,1.0,True,0.9066200826381232,2,1.0,4.874,0.874,0.0
