method,latent_mass_success,mean_mass,mean_set_size,singleton,full_set,seed,m,ncal,ntest,k,q_mass,alpha,delta,regime,sigma
random_rater_cp,0.962,0.8842201747684912,2.927,0.11566666666666667,0.0,2026084520,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9316666666666666,0.8277555912868726,2.6226666666666665,0.17666666666666667,0.0,2026084520,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9693333333333334,0.8903408317188211,2.9443333333333332,0.10966666666666666,0.0,2026084521,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9803333333333333,0.9154443067064344,3.1153333333333335,0.07033333333333333,0.0,2026084521,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9476666666666667,0.8531449154275915,2.752666666666667,0.14833333333333334,0.0,2026084521,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9633333333333334,0.880139553813068,2.878,0.13366666666666666,0.0,2026084522,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.97,0.8925804041802952,2.9546666666666668,0.11766666666666667,0.0,2026084522,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9486666666666667,0.8536567950174867,2.7343333333333333,0.16466666666666666,0.0,2026084522,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9623333333333334,0.8870989728922517,2.938,0.12133333333333333,0.0,2026084523,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9816666666666667,0.9212371010487498,3.167333333333333,0.07166666666666667,0.0,2026084523,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.932,0.8369953445014451,2.675333333333333,0.16666666666666666,0.0,2026084523,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9733333333333334,0.90236207702434,2.989333333333333,0.097,0.0,2026084524,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9593333333333334,0.877796130591174,2.8393333333333333,0.13333333333333333,0.0,2026084524,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9536666666666667,0.869233162419768,2.803,0.14033333333333334,0.0,2026084524,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9656666666666667,0.8870717508331016,2.9523333333333333,0.10933333333333334,0.0,2026084525,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9666666666666667,0.8890104399106336,2.9623333333333335,0.10833333333333334,0.0,2026084525,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9603333333333334,0.8765279312588251,2.8926666666666665,0.12266666666666666,0.0,2026084525,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9726666666666667,0.9002913744559772,3.035,0.10666666666666667,0.0,2026084526,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9776666666666667,0.9125038661920817,3.139666666666667,0.08233333333333333,0.0,2026084526,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9556666666666667,0.8685549588941459,2.849666666666667,0.14366666666666666,0.0,2026084526,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9446666666666667,0.8535642381761833,2.7556666666666665,0.156,0.0,2026084527,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.973,0.9007702813597082,2.993333333333333,0.10833333333333334,0.0,2026084527,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.94,0.8467923384058518,2.7266666666666666,0.16133333333333333,0.0,2026084527,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9486666666666667,0.8614929935071239,2.765,0.15366666666666667,0.0,2026084528,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9666666666666667,0.8913766857342895,2.9196666666666666,0.12033333333333333,0.0,2026084528,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9376666666666666,0.8443248327805862,2.683,0.17333333333333334,0.0,2026084528,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9393333333333334,0.8490792879369422,2.747333333333333,0.14733333333333334,0.0,2026084529,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9466666666666667,0.8629028703554783,2.8306666666666667,0.13533333333333333,0.0,2026084529,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9103333333333333,0.8034931164923063,2.542333333333333,0.172,0.0,2026084529,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9606666666666667,0.8799862395740101,2.901666666666667,0.11466666666666667,0.0,2026084530,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9606666666666667,0.8799862395740101,2.901666666666667,0.11466666666666667,0.0,2026084530,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.946,0.8509496495299309,2.7383333333333333,0.15033333333333335,0.0,2026084530,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.957,0.8758509277111635,2.906,0.123,0.0,2026084531,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9593333333333334,0.8798654810812709,2.9236666666666666,0.121,0.0,2026084531,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9376666666666666,0.8430379099897897,2.736666666666667,0.15066666666666667,0.0,2026084531,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9893333333333333,0.9349138266306042,3.311,0.044,0.0,2026084532,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9793333333333333,0.9136856793995572,3.12,0.08233333333333333,0.0,2026084532,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9366666666666666,0.833539238542945,2.639,0.17633333333333334,0.0,2026084532,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9553333333333334,0.8670089842721674,2.8196666666666665,0.13966666666666666,0.0,2026084533,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.969,0.8911953910668411,2.9603333333333333,0.11,0.0,2026084533,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.928,0.8223608354969008,2.6043333333333334,0.17733333333333334,0.0,2026084533,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.965,0.8901616259625783,2.924,0.124,0.0,2026084534,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9793333333333333,0.9162802687492551,3.089,0.08233333333333333,0.0,2026084534,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9466666666666667,0.8581585687870041,2.7573333333333334,0.15133333333333332,0.0,2026084534,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9583333333333334,0.8788226684854159,2.8746666666666667,0.12733333333333333,0.0,2026084535,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.973,0.9027340209028707,3.0046666666666666,0.103,0.0,2026084535,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.932,0.832562955484111,2.6226666666666665,0.17833333333333334,0.0,2026084535,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9416666666666667,0.8505238193617228,2.735333333333333,0.16,0.0,2026084536,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9623333333333334,0.8847117707067359,2.914,0.123,0.0,2026084536,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.93,0.8310490740949062,2.6443333333333334,0.173,0.0,2026084536,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.913,0.8084135054548623,2.525,0.183,0.0,2026084537,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9496666666666667,0.8691561898847322,2.81,0.14333333333333334,0.0,2026084537,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9093333333333333,0.8029522500338288,2.5033333333333334,0.189,0.0,2026084537,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9693333333333334,0.8931572599267155,2.9423333333333335,0.11733333333333333,0.0,2026084538,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9773333333333334,0.9068878687539207,3.0303333333333335,0.097,0.0,2026084538,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.95,0.8622940021542037,2.792666666666667,0.14,0.0,2026084538,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9643333333333334,0.8942613267542574,2.9896666666666665,0.09966666666666667,0.0,2026084539,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9696666666666667,0.9034769977051555,3.0403333333333333,0.08833333333333333,0.0,2026084539,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.939,0.8505083410893172,2.7466666666666666,0.146,0.0,2026084539,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9596666666666667,0.87855414171695,2.898,0.12233333333333334,0.0,2026084540,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9816666666666667,0.9175579016534592,3.1553333333333335,0.07866666666666666,0.0,2026084540,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9376666666666666,0.8409296528489646,2.7,0.15366666666666667,0.0,2026084540,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.954,0.8731137898532941,2.8566666666666665,0.11866666666666667,0.0,2026084541,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.959,0.8813924246472549,2.8993333333333333,0.10933333333333334,0.0,2026084541,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.926,0.8226856911518241,2.5963333333333334,0.17666666666666667,0.0,2026084541,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.973,0.9014175506116106,3.0766666666666667,0.08766666666666667,0.0,2026084542,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.978,0.9117104633338152,3.145,0.075,0.0,2026084542,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9396666666666667,0.8459175225516068,2.764666666666667,0.148,0.0,2026084542,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9696666666666667,0.8956668083491588,2.949333333333333,0.11466666666666667,0.0,2026084543,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9773333333333334,0.911246936711845,3.0653333333333332,0.086,0.0,2026084543,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9463333333333334,0.8560918329326469,2.745,0.145,0.0,2026084543,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9633333333333334,0.8865700352004651,2.925,0.11833333333333333,0.0,2026084544,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.977,0.9109861183487616,3.0776666666666666,0.08066666666666666,0.0,2026084544,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9326666666666666,0.8346749161593974,2.659666666666667,0.17433333333333334,0.0,2026084544,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9526666666666667,0.863776569052464,2.762,0.14933333333333335,0.0,2026084545,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9743333333333334,0.9015269317188128,2.9856666666666665,0.10033333333333333,0.0,2026084545,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9336666666666666,0.8344634757974502,2.6293333333333333,0.16866666666666666,0.0,2026084545,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.968,0.8945363101493582,2.9936666666666665,0.10066666666666667,0.0,2026084546,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.98,0.9170107758665909,3.147666666666667,0.07,0.0,2026084546,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9463333333333334,0.8565396429003707,2.7816666666666667,0.144,0.0,2026084546,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.972,0.9006586223623907,3.005333333333333,0.108,0.0,2026084547,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9813333333333333,0.9136374428340218,3.084,0.09,0.0,2026084547,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9693333333333334,0.894204305713703,2.9616666666666664,0.11633333333333333,0.0,2026084547,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.954,0.8687839344555354,2.840333333333333,0.141,0.0,2026084548,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9706666666666667,0.9027833931262285,3.0606666666666666,0.093,0.0,2026084548,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.937,0.841094570656897,2.707666666666667,0.15866666666666668,0.0,2026084548,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.96,0.8811150440700585,2.893,0.12233333333333334,0.0,2026084549,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9666666666666667,0.8912005678986245,2.949,0.11066666666666666,0.0,2026084549,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9333333333333333,0.8364620027878358,2.672,0.15666666666666668,0.0,2026084549,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9826666666666667,0.9162938276974313,3.115666666666667,0.08466666666666667,0.0,2026084550,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.984,0.9215494825024589,3.1696666666666666,0.07333333333333333,0.0,2026084550,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9513333333333334,0.8590186924828009,2.7773333333333334,0.14566666666666667,0.0,2026084550,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9323333333333333,0.8392966526482482,2.698,0.15733333333333333,0.0,2026084551,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9563333333333334,0.8783293458410214,2.9053333333333335,0.123,0.0,2026084551,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9163333333333333,0.8133094399240902,2.5806666666666667,0.174,0.0,2026084551,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.959,0.8770788154149838,2.8573333333333335,0.138,0.0,2026084552,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9686666666666667,0.8942895634562152,2.952,0.118,0.0,2026084552,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9353333333333333,0.8336959893502102,2.634333333333333,0.177,0.0,2026084552,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9666666666666667,0.8883527573889627,2.945,0.12966666666666668,0.0,2026084553,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.967,0.8896157398617094,2.9563333333333333,0.12533333333333332,0.0,2026084553,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9516666666666667,0.8630351566077827,2.814,0.14666666666666667,0.0,2026084553,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9183333333333333,0.8133415390232221,2.587,0.177,0.0,2026084554,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9466666666666667,0.859077735742019,2.8093333333333335,0.14066666666666666,0.0,2026084554,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9106666666666666,0.7994874680545542,2.526,0.186,0.0,2026084554,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9523333333333334,0.8616311774397327,2.7823333333333333,0.14233333333333334,0.0,2026084555,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9643333333333334,0.8826000806331249,2.8866666666666667,0.127,0.0,2026084555,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9246666666666666,0.8135228713521503,2.5496666666666665,0.18266666666666667,0.0,2026084555,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.945,0.8507249499523432,2.744666666666667,0.14566666666666667,0.0,2026084556,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9733333333333334,0.8997712381237856,3.01,0.10433333333333333,0.0,2026084556,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9343333333333333,0.8322330691720802,2.659,0.163,0.0,2026084556,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9793333333333333,0.9158007729030211,3.1053333333333333,0.072,0.0,2026084557,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.98,0.9168382053021104,3.115,0.07066666666666667,0.0,2026084557,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.948,0.8582628786009656,2.7373333333333334,0.16233333333333333,0.0,2026084557,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9696666666666667,0.8954110249091403,2.9876666666666667,0.10933333333333334,0.0,2026084558,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9893333333333333,0.9306869783897761,3.2626666666666666,0.049,0.0,2026084558,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9536666666666667,0.8659599779891699,2.8293333333333335,0.14233333333333334,0.0,2026084558,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9646666666666667,0.8897131546710694,2.9426666666666668,0.10966666666666666,0.0,2026084559,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9646666666666667,0.8897131546710694,2.9426666666666668,0.10966666666666666,0.0,2026084559,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9386666666666666,0.8460940632034523,2.714,0.15633333333333332,0.0,2026084559,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9353333333333333,0.8390844507024237,2.6933333333333334,0.15466666666666667,0.0,2026084560,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
